trade_date,signal_ts,entry_ts,signal_name,signal_group,requested_structure,membership_id,trade_id
2021-04-08,2021-04-08 07:02:00+00:00,2021-04-08 07:03:00+00:00,q75_down,percentile_crossing,short_iron_condor,30,30
2021-04-08,2021-04-08 07:02:00+00:00,2021-04-08 07:03:00+00:00,q80_down,percentile_crossing,short_iron_condor,31,30
2021-04-08,2021-04-08 07:08:00+00:00,2021-04-08 07:09:00+00:00,q75_up,percentile_crossing,short_iron_condor,32,31
2021-04-08,2021-04-08 07:22:00+00:00,2021-04-08 07:23:00+00:00,q80_up,percentile_crossing,short_iron_condor,33,32
2021-04-08,2021-04-08 08:37:00+00:00,2021-04-08 08:38:00+00:00,zero_down,zero_crossing,long_iron_condor,34,33
2021-04-12,2021-04-12 05:10:00+00:00,2021-04-12 05:11:00+00:00,reversal_bottom,tail_reversal,short_iron_condor,35,34
2021-04-13,2021-04-13 09:07:00+00:00,2021-04-13 09:08:00+00:00,reversal_bottom,tail_reversal,short_iron_condor,36,35
2021-04-15,2021-04-15 05:42:00+00:00,2021-04-15 05:43:00+00:00,zero_up,zero_crossing,short_iron_condor,37,36
2021-04-15,2021-04-15 05:53:00+00:00,2021-04-15 05:54:00+00:00,q70_up,percentile_crossing,short_iron_condor,38,37
2021-04-15,2021-04-15 05:54:00+00:00,2021-04-15 05:55:00+00:00,q75_up,percentile_crossing,short_iron_condor,39,38
2021-04-15,2021-04-15 05:55:00+00:00,2021-04-15 05:56:00+00:00,q80_up,percentile_crossing,short_iron_condor,40,39
2021-04-15,2021-04-15 06:07:00+00:00,2021-04-15 06:08:00+00:00,q85_up,percentile_crossing,short_iron_condor,41,40
2021-04-15,2021-04-15 06:18:00+00:00,2021-04-15 06:19:00+00:00,q85_down,percentile_crossing,short_iron_condor,42,41
2021-04-15,2021-04-15 06:19:00+00:00,2021-04-15 06:20:00+00:00,q75_down,percentile_crossing,short_iron_condor,43,42
2021-04-15,2021-04-15 06:19:00+00:00,2021-04-15 06:20:00+00:00,q80_down,percentile_crossing,short_iron_condor,44,42
2021-04-15,2021-04-15 06:20:00+00:00,2021-04-15 06:21:00+00:00,q70_down,percentile_crossing,short_iron_condor,45,43
2021-04-15,2021-04-15 06:22:00+00:00,2021-04-15 06:23:00+00:00,zero_down,zero_crossing,long_iron_condor,46,44
2021-04-15,2021-04-15 07:20:00+00:00,2021-04-15 07:21:00+00:00,q90_up,percentile_crossing,short_iron_condor,47,45
2021-04-15,2021-04-15 07:32:00+00:00,2021-04-15 07:33:00+00:00,q95_up,percentile_crossing,short_iron_condor,48,46
2021-04-15,2021-04-15 07:34:00+00:00,2021-04-15 07:35:00+00:00,q95_down,percentile_crossing,short_iron_condor,49,47
2021-04-15,2021-04-15 09:01:00+00:00,2021-04-15 09:02:00+00:00,reversal_top,tail_reversal,long_iron_condor,50,48
2021-04-19,2021-04-19 05:32:00+00:00,2021-04-19 05:33:00+00:00,reversal_bottom,tail_reversal,short_iron_condor,51,49
2021-04-19,2021-04-19 06:30:00+00:00,2021-04-19 06:31:00+00:00,zero_up,zero_crossing,short_iron_condor,52,50
2021-04-19,2021-04-19 06:43:00+00:00,2021-04-19 06:44:00+00:00,zero_down,zero_crossing,long_iron_condor,53,51
2021-04-20,2021-04-20 05:44:00+00:00,2021-04-20 05:45:00+00:00,zero_up,zero_crossing,short_iron_condor,54,52
2021-04-20,2021-04-20 06:09:00+00:00,2021-04-20 06:10:00+00:00,zero_down,zero_crossing,long_iron_condor,55,53
2021-04-20,2021-04-20 07:57:00+00:00,2021-04-20 07:58:00+00:00,reversal_bottom,tail_reversal,short_iron_condor,56,54
2021-04-22,2021-04-22 04:52:00+00:00,2021-04-22 04:53:00+00:00,q95_up,percentile_crossing,short_iron_condor,57,55
2021-04-22,2021-04-22 07:26:00+00:00,2021-04-22 07:27:00+00:00,q95_down,percentile_crossing,short_iron_condor,58,56
2021-04-26,2021-04-26 05:02:00+00:00,2021-04-26 05:03:00+00:00,q70_up,percentile_crossing,short_iron_condor,59,57
2021-04-26,2021-04-26 05:03:00+00:00,2021-04-26 05:04:00+00:00,q75_up,percentile_crossing,short_iron_condor,60,58
2021-04-26,2021-04-26 05:06:00+00:00,2021-04-26 05:07:00+00:00,q75_down,percentile_crossing,short_iron_condor,61,59
2021-04-26,2021-04-26 05:07:00+00:00,2021-04-26 05:08:00+00:00,q70_down,percentile_crossing,short_iron_condor,62,60
2021-04-26,2021-04-26 05:16:00+00:00,2021-04-26 05:17:00+00:00,zero_up,zero_crossing,short_iron_condor,63,61
2021-04-26,2021-04-26 05:24:00+00:00,2021-04-26 05:25:00+00:00,q80_up,percentile_crossing,short_iron_condor,64,62
2021-04-26,2021-04-26 05:33:00+00:00,2021-04-26 05:34:00+00:00,q80_down,percentile_crossing,short_iron_condor,65,63
2021-04-26,2021-04-26 08:24:00+00:00,2021-04-26 08:25:00+00:00,zero_down,zero_crossing,long_iron_condor,66,64
2021-04-27,2021-04-27 04:52:00+00:00,2021-04-27 04:53:00+00:00,q75_up,percentile_crossing,short_iron_condor,67,65
2021-04-27,2021-04-27 04:52:00+00:00,2021-04-27 04:53:00+00:00,q80_up,percentile_crossing,short_iron_condor,68,65
2021-04-27,2021-04-27 04:52:00+00:00,2021-04-27 04:53:00+00:00,q85_up,percentile_crossing,short_iron_condor,69,65
2021-04-27,2021-04-27 04:54:00+00:00,2021-04-27 04:55:00+00:00,zero_up,zero_crossing,short_iron_condor,70,66
2021-04-27,2021-04-27 05:33:00+00:00,2021-04-27 05:34:00+00:00,q85_down,percentile_crossing,short_iron_condor,71,67
2021-04-27,2021-04-27 08:17:00+00:00,2021-04-27 08:18:00+00:00,q80_down,percentile_crossing,short_iron_condor,72,68
2021-04-28,2021-04-28 05:01:00+00:00,2021-04-28 05:02:00+00:00,q90_down,percentile_crossing,short_iron_condor,73,69
2021-04-28,2021-04-28 05:22:00+00:00,2021-04-28 05:23:00+00:00,q85_down,percentile_crossing,short_iron_condor,74,70
2021-04-28,2021-04-28 05:26:00+00:00,2021-04-28 05:27:00+00:00,reversal_top,tail_reversal,long_iron_condor,75,71
2021-04-28,2021-04-28 06:09:00+00:00,2021-04-28 06:10:00+00:00,q85_up,percentile_crossing,short_iron_condor,76,72
2021-04-28,2021-04-28 06:32:00+00:00,2021-04-28 06:33:00+00:00,q80_down,percentile_crossing,short_iron_condor,77,73
2021-04-28,2021-04-28 06:47:00+00:00,2021-04-28 06:48:00+00:00,q80_up,percentile_crossing,short_iron_condor,78,74
2021-04-28,2021-04-28 08:23:00+00:00,2021-04-28 08:24:00+00:00,q75_down,percentile_crossing,short_iron_condor,79,75
2021-04-28,2021-04-28 08:28:00+00:00,2021-04-28 08:29:00+00:00,q75_up,percentile_crossing,short_iron_condor,80,76
2021-04-29,2021-04-29 05:36:00+00:00,2021-04-29 05:37:00+00:00,zero_up,zero_crossing,short_iron_condor,81,77
2021-04-29,2021-04-29 05:41:00+00:00,2021-04-29 05:42:00+00:00,q70_up,percentile_crossing,short_iron_condor,82,78
2021-04-29,2021-04-29 05:41:00+00:00,2021-04-29 05:42:00+00:00,q75_up,percentile_crossing,short_iron_condor,83,78
2021-04-29,2021-04-29 05:42:00+00:00,2021-04-29 05:43:00+00:00,q80_up,percentile_crossing,short_iron_condor,84,79
2021-04-29,2021-04-29 05:48:00+00:00,2021-04-29 05:49:00+00:00,q75_down,percentile_crossing,short_iron_condor,85,80
2021-04-29,2021-04-29 05:48:00+00:00,2021-04-29 05:49:00+00:00,q80_down,percentile_crossing,short_iron_condor,86,80
2021-04-29,2021-04-29 05:49:00+00:00,2021-04-29 05:50:00+00:00,q70_down,percentile_crossing,short_iron_condor,87,81
2021-04-29,2021-04-29 05:50:00+00:00,2021-04-29 05:51:00+00:00,zero_down,zero_crossing,long_iron_condor,88,82
2021-04-29,2021-04-29 06:48:00+00:00,2021-04-29 06:49:00+00:00,q85_up,percentile_crossing,short_iron_condor,89,83
2021-04-29,2021-04-29 06:55:00+00:00,2021-04-29 06:56:00+00:00,q90_up,percentile_crossing,short_iron_condor,90,84
2021-04-29,2021-04-29 07:19:00+00:00,2021-04-29 07:20:00+00:00,q95_up,percentile_crossing,short_iron_condor,91,85
2021-04-29,2021-04-29 07:22:00+00:00,2021-04-29 07:23:00+00:00,q95_down,percentile_crossing,short_iron_condor,92,86
2021-04-29,2021-04-29 07:23:00+00:00,2021-04-29 07:24:00+00:00,q90_down,percentile_crossing,short_iron_condor,93,87
2021-04-29,2021-04-29 07:26:00+00:00,2021-04-29 07:27:00+00:00,reversal_top,tail_reversal,long_iron_condor,94,88
2021-04-29,2021-04-29 07:43:00+00:00,2021-04-29 07:44:00+00:00,q85_down,percentile_crossing,short_iron_condor,95,89
2021-04-30,2021-04-30 06:15:00+00:00,2021-04-30 06:16:00+00:00,zero_up,zero_crossing,short_iron_condor,96,90
2021-04-30,2021-04-30 06:25:00+00:00,2021-04-30 06:26:00+00:00,zero_down,zero_crossing,long_iron_condor,97,91
2021-05-03,2021-05-03 06:16:00+00:00,2021-05-03 06:17:00+00:00,zero_up,zero_crossing,short_iron_condor,98,92
2021-05-03,2021-05-03 07:01:00+00:00,2021-05-03 07:02:00+00:00,q70_up,percentile_crossing,short_iron_condor,99,93
2021-05-03,2021-05-03 07:03:00+00:00,2021-05-03 07:04:00+00:00,q75_up,percentile_crossing,short_iron_condor,100,94
2021-05-03,2021-05-03 07:08:00+00:00,2021-05-03 07:09:00+00:00,q75_down,percentile_crossing,short_iron_condor,101,95
2021-05-03,2021-05-03 07:15:00+00:00,2021-05-03 07:16:00+00:00,q70_down,percentile_crossing,short_iron_condor,102,96
2021-05-03,2021-05-03 07:54:00+00:00,2021-05-03 07:55:00+00:00,zero_down,zero_crossing,long_iron_condor,103,97
2021-05-04,2021-05-04 05:22:00+00:00,2021-05-04 05:23:00+00:00,q70_up,percentile_crossing,short_iron_condor,104,98
2021-05-04,2021-05-04 05:22:00+00:00,2021-05-04 05:23:00+00:00,zero_up,zero_crossing,short_iron_condor,105,98
2021-05-04,2021-05-04 05:27:00+00:00,2021-05-04 05:28:00+00:00,q75_up,percentile_crossing,short_iron_condor,106,99
2021-05-04,2021-05-04 05:34:00+00:00,2021-05-04 05:35:00+00:00,q80_up,percentile_crossing,short_iron_condor,107,100
2021-05-04,2021-05-04 05:39:00+00:00,2021-05-04 05:40:00+00:00,q80_down,percentile_crossing,short_iron_condor,108,101
2021-05-04,2021-05-04 05:47:00+00:00,2021-05-04 05:48:00+00:00,q75_down,percentile_crossing,short_iron_condor,109,102
2021-05-04,2021-05-04 06:24:00+00:00,2021-05-04 06:25:00+00:00,q70_down,percentile_crossing,short_iron_condor,110,103
2021-05-04,2021-05-04 06:51:00+00:00,2021-05-04 06:52:00+00:00,zero_down,zero_crossing,long_iron_condor,111,104
2021-05-04,2021-05-04 08:41:00+00:00,2021-05-04 08:42:00+00:00,reversal_bottom,tail_reversal,short_iron_condor,112,105
2021-05-05,2021-05-05 05:36:00+00:00,2021-05-05 05:37:00+00:00,reversal_bottom,tail_reversal,short_iron_condor,113,106
2021-05-05,2021-05-05 06:22:00+00:00,2021-05-05 06:23:00+00:00,zero_up,zero_crossing,short_iron_condor,114,107
2021-05-05,2021-05-05 06:31:00+00:00,2021-05-05 06:32:00+00:00,zero_down,zero_crossing,long_iron_condor,115,108
2021-05-05,2021-05-05 08:34:00+00:00,2021-05-05 08:35:00+00:00,q70_up,percentile_crossing,short_iron_condor,116,109
2021-05-05,2021-05-05 08:37:00+00:00,2021-05-05 08:38:00+00:00,q75_up,percentile_crossing,short_iron_condor,117,110
2021-05-05,2021-05-05 08:42:00+00:00,2021-05-05 08:43:00+00:00,q70_down,percentile_crossing,short_iron_condor,118,111
2021-05-05,2021-05-05 08:42:00+00:00,2021-05-05 08:43:00+00:00,q75_down,percentile_crossing,short_iron_condor,119,111
2021-05-06,2021-05-06 05:00:00+00:00,2021-05-06 05:01:00+00:00,q95_down,percentile_crossing,short_iron_condor,120,112
2021-05-06,2021-05-06 05:23:00+00:00,2021-05-06 05:24:00+00:00,q90_down,percentile_crossing,short_iron_condor,121,113
2021-05-06,2021-05-06 05:23:00+00:00,2021-05-06 05:24:00+00:00,reversal_top,tail_reversal,long_iron_condor,122,113
2021-05-06,2021-05-06 05:39:00+00:00,2021-05-06 05:40:00+00:00,q85_down,percentile_crossing,short_iron_condor,123,114
2021-05-06,2021-05-06 05:41:00+00:00,2021-05-06 05:42:00+00:00,q85_up,percentile_crossing,short_iron_condor,124,115
2021-05-06,2021-05-06 05:50:00+00:00,2021-05-06 05:51:00+00:00,q90_up,percentile_crossing,short_iron_condor,125,116
2021-05-06,2021-05-06 08:33:00+00:00,2021-05-06 08:34:00+00:00,q95_up,percentile_crossing,short_iron_condor,126,117
2021-05-07,2021-05-07 04:50:00+00:00,2021-05-07 04:51:00+00:00,q75_down,percentile_crossing,short_iron_condor,127,118
2021-05-07,2021-05-07 04:55:00+00:00,2021-05-07 04:56:00+00:00,q70_down,percentile_crossing,short_iron_condor,128,119
2021-05-07,2021-05-07 06:15:00+00:00,2021-05-07 06:16:00+00:00,zero_up,zero_crossing,short_iron_condor,129,120
2021-05-07,2021-05-07 06:42:00+00:00,2021-05-07 06:43:00+00:00,zero_down,zero_crossing,long_iron_condor,130,121
2021-05-10,2021-05-10 05:25:00+00:00,2021-05-10 05:26:00+00:00,zero_up,zero_crossing,short_iron_condor,131,122
2021-05-10,2021-05-10 05:27:00+00:00,2021-05-10 05:28:00+00:00,q70_up,percentile_crossing,short_iron_condor,132,123
2021-05-10,2021-05-10 05:35:00+00:00,2021-05-10 05:36:00+00:00,q75_up,percentile_crossing,short_iron_condor,133,124
2021-05-10,2021-05-10 05:40:00+00:00,2021-05-10 05:41:00+00:00,q80_up,percentile_crossing,short_iron_condor,134,125
2021-05-10,2021-05-10 05:55:00+00:00,2021-05-10 05:56:00+00:00,q80_down,percentile_crossing,short_iron_condor,135,126
2021-05-10,2021-05-10 06:17:00+00:00,2021-05-10 06:18:00+00:00,q75_down,percentile_crossing,short_iron_condor,136,127
2021-05-10,2021-05-10 06:22:00+00:00,2021-05-10 06:23:00+00:00,q70_down,percentile_crossing,short_iron_condor,137,128
2021-05-10,2021-05-10 08:43:00+00:00,2021-05-10 08:44:00+00:00,q85_up,percentile_crossing,short_iron_condor,138,129
2021-05-11,2021-05-11 05:26:00+00:00,2021-05-11 05:27:00+00:00,q85_down,percentile_crossing,short_iron_condor,139,130
2021-05-11,2021-05-11 06:05:00+00:00,2021-05-11 06:06:00+00:00,q80_down,percentile_crossing,short_iron_condor,140,131
2021-05-11,2021-05-11 06:07:00+00:00,2021-05-11 06:08:00+00:00,q75_down,percentile_crossing,short_iron_condor,141,132
2021-05-11,2021-05-11 06:19:00+00:00,2021-05-11 06:20:00+00:00,q70_down,percentile_crossing,short_iron_condor,142,133
2021-05-11,2021-05-11 07:05:00+00:00,2021-05-11 07:06:00+00:00,q70_up,percentile_crossing,short_iron_condor,143,134
2021-05-11,2021-05-11 07:05:00+00:00,2021-05-11 07:06:00+00:00,q75_up,percentile_crossing,short_iron_condor,144,134
2021-05-11,2021-05-11 08:02:00+00:00,2021-05-11 08:03:00+00:00,zero_down,zero_crossing,long_iron_condor,145,135
2021-05-11,2021-05-11 08:19:00+00:00,2021-05-11 08:20:00+00:00,zero_up,zero_crossing,short_iron_condor,146,136
2021-05-12,2021-05-12 04:56:00+00:00,2021-05-12 04:57:00+00:00,q95_down,percentile_crossing,short_iron_condor,147,137
2021-05-12,2021-05-12 05:33:00+00:00,2021-05-12 05:34:00+00:00,q90_down,percentile_crossing,short_iron_condor,148,138
2021-05-12,2021-05-12 05:39:00+00:00,2021-05-12 05:40:00+00:00,reversal_top,tail_reversal,long_iron_condor,149,139
2021-05-12,2021-05-12 06:54:00+00:00,2021-05-12 06:55:00+00:00,q90_up,percentile_crossing,short_iron_condor,150,140
2021-05-12,2021-05-12 07:16:00+00:00,2021-05-12 07:17:00+00:00,q85_down,percentile_crossing,short_iron_condor,151,141
2021-05-12,2021-05-12 07:22:00+00:00,2021-05-12 07:23:00+00:00,q85_up,percentile_crossing,short_iron_condor,152,142
2021-05-14,2021-05-14 07:42:00+00:00,2021-05-14 07:43:00+00:00,reversal_bottom,tail_reversal,short_iron_condor,153,143
2021-05-17,2021-05-17 05:51:00+00:00,2021-05-17 05:52:00+00:00,zero_up,zero_crossing,short_iron_condor,154,144
2021-05-17,2021-05-17 06:14:00+00:00,2021-05-17 06:15:00+00:00,q70_up,percentile_crossing,short_iron_condor,155,145
2021-05-17,2021-05-17 06:16:00+00:00,2021-05-17 06:17:00+00:00,q70_down,percentile_crossing,short_iron_condor,156,146
2021-05-17,2021-05-17 07:48:00+00:00,2021-05-17 07:49:00+00:00,zero_down,zero_crossing,long_iron_condor,157,147
2021-05-17,2021-05-17 09:59:00+00:00,2021-05-17 10:00:00+00:00,reversal_top,tail_reversal,long_iron_condor,158,148
2021-05-18,2021-05-18 05:47:00+00:00,2021-05-18 05:48:00+00:00,zero_up,zero_crossing,short_iron_condor,159,149
2021-05-18,2021-05-18 08:02:00+00:00,2021-05-18 08:03:00+00:00,q70_up,percentile_crossing,short_iron_condor,160,150
2021-05-19,2021-05-19 04:51:00+00:00,2021-05-19 04:52:00+00:00,q70_down,percentile_crossing,short_iron_condor,161,151
2021-05-19,2021-05-19 05:50:00+00:00,2021-05-19 05:51:00+00:00,zero_up,zero_crossing,short_iron_condor,162,152
2021-05-19,2021-05-19 07:36:00+00:00,2021-05-19 07:37:00+00:00,q70_up,percentile_crossing,short_iron_condor,163,153
2021-05-19,2021-05-19 07:56:00+00:00,2021-05-19 07:57:00+00:00,q75_up,percentile_crossing,short_iron_condor,164,154
2021-05-19,2021-05-19 07:57:00+00:00,2021-05-19 07:58:00+00:00,q75_down,percentile_crossing,short_iron_condor,165,155
2021-05-19,2021-05-19 08:41:00+00:00,2021-05-19 08:42:00+00:00,zero_down,zero_crossing,long_iron_condor,166,156
2021-05-20,2021-05-20 04:57:00+00:00,2021-05-20 04:58:00+00:00,q70_up,percentile_crossing,short_iron_condor,167,157
2021-05-20,2021-05-20 04:58:00+00:00,2021-05-20 04:59:00+00:00,q75_up,percentile_crossing,short_iron_condor,168,158
2021-05-20,2021-05-20 04:59:00+00:00,2021-05-20 05:00:00+00:00,zero_up,zero_crossing,short_iron_condor,169,159
2021-05-20,2021-05-20 05:00:00+00:00,2021-05-20 05:01:00+00:00,q80_up,percentile_crossing,short_iron_condor,170,160
2021-05-20,2021-05-20 05:04:00+00:00,2021-05-20 05:05:00+00:00,q85_up,percentile_crossing,short_iron_condor,171,161
2021-05-20,2021-05-20 06:00:00+00:00,2021-05-20 06:01:00+00:00,q90_up,percentile_crossing,short_iron_condor,172,162
2021-05-20,2021-05-20 06:26:00+00:00,2021-05-20 06:27:00+00:00,q95_up,percentile_crossing,short_iron_condor,173,163
2021-05-20,2021-05-20 06:27:00+00:00,2021-05-20 06:28:00+00:00,q95_down,percentile_crossing,short_iron_condor,174,164
2021-05-21,2021-05-21 06:01:00+00:00,2021-05-21 06:02:00+00:00,zero_up,zero_crossing,short_iron_condor,175,165
2021-05-21,2021-05-21 06:04:00+00:00,2021-05-21 06:05:00+00:00,zero_down,zero_crossing,long_iron_condor,176,166
2021-05-24,2021-05-24 05:44:00+00:00,2021-05-24 05:45:00+00:00,zero_up,zero_crossing,short_iron_condor,177,167
2021-05-24,2021-05-24 07:34:00+00:00,2021-05-24 07:35:00+00:00,zero_down,zero_crossing,long_iron_condor,178,168
2021-05-24,2021-05-24 08:40:00+00:00,2021-05-24 08:41:00+00:00,q70_up,percentile_crossing,short_iron_condor,179,169
2021-05-25,2021-05-25 04:51:00+00:00,2021-05-25 04:52:00+00:00,q70_down,percentile_crossing,short_iron_condor,180,170
2021-05-25,2021-05-25 05:32:00+00:00,2021-05-25 05:33:00+00:00,zero_up,zero_crossing,short_iron_condor,181,171
2021-05-25,2021-05-25 05:48:00+00:00,2021-05-25 05:49:00+00:00,zero_down,zero_crossing,long_iron_condor,182,172
2021-05-25,2021-05-25 07:51:00+00:00,2021-05-25 07:52:00+00:00,q70_up,percentile_crossing,short_iron_condor,183,173
2021-05-26,2021-05-26 04:56:00+00:00,2021-05-26 04:57:00+00:00,q75_up,percentile_crossing,short_iron_condor,184,174
2021-05-26,2021-05-26 05:01:00+00:00,2021-05-26 05:02:00+00:00,zero_up,zero_crossing,short_iron_condor,185,175
2021-05-26,2021-05-26 05:02:00+00:00,2021-05-26 05:03:00+00:00,q80_up,percentile_crossing,short_iron_condor,186,176
2021-05-26,2021-05-26 05:07:00+00:00,2021-05-26 05:08:00+00:00,q80_down,percentile_crossing,short_iron_condor,187,177
2021-05-26,2021-05-26 05:11:00+00:00,2021-05-26 05:12:00+00:00,q75_down,percentile_crossing,short_iron_condor,188,178
2021-05-26,2021-05-26 05:18:00+00:00,2021-05-26 05:19:00+00:00,q70_down,percentile_crossing,short_iron_condor,189,179
2021-05-26,2021-05-26 05:23:00+00:00,2021-05-26 05:24:00+00:00,zero_down,zero_crossing,long_iron_condor,190,180
2021-05-26,2021-05-26 08:03:00+00:00,2021-05-26 08:04:00+00:00,q70_up,percentile_crossing,short_iron_condor,191,181
2021-05-27,2021-05-27 05:11:00+00:00,2021-05-27 05:12:00+00:00,q95_down,percentile_crossing,short_iron_condor,192,182
2021-05-27,2021-05-27 05:33:00+00:00,2021-05-27 05:34:00+00:00,q90_down,percentile_crossing,short_iron_condor,193,183
2021-05-27,2021-05-27 05:51:00+00:00,2021-05-27 05:52:00+00:00,q90_up,percentile_crossing,short_iron_condor,194,184
2021-05-27,2021-05-27 05:55:00+00:00,2021-05-27 05:56:00+00:00,reversal_top,tail_reversal,long_iron_condor,195,185
2021-05-27,2021-05-27 08:39:00+00:00,2021-05-27 08:40:00+00:00,q95_up,percentile_crossing,short_iron_condor,196,186
2021-05-31,2021-05-31 06:44:00+00:00,2021-05-31 06:45:00+00:00,zero_up,zero_crossing,short_iron_condor,197,187
2021-05-31,2021-05-31 08:05:00+00:00,2021-05-31 08:06:00+00:00,zero_down,zero_crossing,long_iron_condor,198,188
2021-06-01,2021-06-01 07:35:00+00:00,2021-06-01 07:36:00+00:00,zero_up,zero_crossing,short_iron_condor,199,189
2021-06-01,2021-06-01 07:50:00+00:00,2021-06-01 07:51:00+00:00,zero_down,zero_crossing,long_iron_condor,200,190
2021-06-02,2021-06-02 05:05:00+00:00,2021-06-02 05:06:00+00:00,q70_up,percentile_crossing,short_iron_condor,201,191
2021-06-02,2021-06-02 05:11:00+00:00,2021-06-02 05:12:00+00:00,q70_down,percentile_crossing,short_iron_condor,202,192
2021-06-02,2021-06-02 05:14:00+00:00,2021-06-02 05:15:00+00:00,zero_up,zero_crossing,short_iron_condor,203,193
2021-06-02,2021-06-02 08:34:00+00:00,2021-06-02 08:35:00+00:00,q75_up,percentile_crossing,short_iron_condor,204,194
2021-06-03,2021-06-03 04:57:00+00:00,2021-06-03 04:58:00+00:00,q90_down,percentile_crossing,short_iron_condor,205,195
2021-06-03,2021-06-03 05:08:00+00:00,2021-06-03 05:09:00+00:00,q90_up,percentile_crossing,short_iron_condor,206,196
2021-06-03,2021-06-03 05:22:00+00:00,2021-06-03 05:23:00+00:00,q85_down,percentile_crossing,short_iron_condor,207,197
2021-06-03,2021-06-03 05:32:00+00:00,2021-06-03 05:33:00+00:00,reversal_top,tail_reversal,long_iron_condor,208,198
2021-06-03,2021-06-03 07:56:00+00:00,2021-06-03 07:57:00+00:00,q85_up,percentile_crossing,short_iron_condor,209,199
2021-06-04,2021-06-04 04:52:00+00:00,2021-06-04 04:53:00+00:00,q70_down,percentile_crossing,short_iron_condor,210,200
2021-06-04,2021-06-04 04:52:00+00:00,2021-06-04 04:53:00+00:00,q75_down,percentile_crossing,short_iron_condor,211,200
